entity,code,year,literacy_rate,mf_youth_and_adults__15_64_years__average_years_of_education,population_historical,owid_region
Afghanistan,AFG,1870,,0.01,4101170.0,Asia
Afghanistan,AFG,1875,,0.01,4193635.0,Asia
Afghanistan,AFG,1880,,0.01,4288021.0,Asia
Afghanistan,AFG,1885,,0.01,4384343.0,Asia
Afghanistan,AFG,1890,,0.01,4482635.0,Asia
Afghanistan,AFG,1895,,0.01,4582928.0,Asia
Afghanistan,AFG,1900,,0.01,4707744.0,Asia
Afghanistan,AFG,1905,,0.01,4982681.0,Asia
Afghanistan,AFG,1910,,0.01,5504191.0,Asia
Afghanistan,AFG,1915,,0.02,7654918.0,Asia
Afghanistan,AFG,1920,,0.03,10188845.0,Asia
Afghanistan,AFG,1925,,0.04,8416077.0,Asia
Afghanistan,AFG,1930,,0.04,6626142.0,Asia
Afghanistan,AFG,1935,,0.05,6409250.0,Asia
Afghanistan,AFG,1940,,0.2,6468510.0,Asia
Afghanistan,AFG,1945,,0.22,6917471.0,Asia
Afghanistan,AFG,1950,3.0,0.28,7776180.0,Asia
Afghanistan,AFG,1955,,0.32,8326981.0,Asia
Afghanistan,AFG,1960,,0.39,9035048.0,Asia
Afghanistan,AFG,1965,,0.44,10036003.0,Asia
Afghanistan,AFG,1970,,0.72,11290134.0,Asia
Afghanistan,AFG,1975,,0.97,12773966.0,Asia
Afghanistan,AFG,1979,18.0,,13655575.0,Asia
Afghanistan,AFG,1980,,1.29,13169313.0,Asia
Afghanistan,AFG,1985,,1.73,11426855.0,Asia
Afghanistan,AFG,1990,,2.06,12045664.0,Asia
Afghanistan,AFG,1995,,2.4,17065837.0,Asia
Afghanistan,AFG,2000,,3.03,20130334.0,Asia
Afghanistan,AFG,2005,,3.32,24404575.0,Asia
Afghanistan,AFG,2010,,3.93,28284088.0,Asia
Afghanistan,AFG,2011,31.0,,29347708.0,Asia
Afghanistan,AFG,2015,33.75384,4.81,33831767.0,Asia
Afghanistan,AFG,2020,,5.69,39068977.0,Asia
Afghanistan,AFG,2021,37.0,,40000410.0,Asia
Africa,,1870,,0.057632297,122086255.0,
Africa,,1875,,0.0679372,125042995.0,
Africa,,1880,,0.0829817,128194527.0,
Africa,,1885,,0.10104209,131669056.0,
Africa,,1890,,0.11763715,135054738.0,
Africa,,1895,,0.12729484,136921163.0,
Africa,,1900,,0.14558923,138755559.0,
Africa,,1905,,0.17948055,141220048.0,
Africa,,1910,,0.22879495,144068383.0,
Africa,,1915,,0.3172326,147042086.0,
Africa,,1920,,0.46067154,150865200.0,
Africa,,1925,,0.5505489,159672951.0,
Africa,,1930,,0.65101254,169928217.0,
Africa,,1935,,0.7203865,181010603.0,
Africa,,1940,,0.82451165,193310936.0,
Africa,,1945,,0.9153555,209035596.0,
Africa,,1950,,1.0554335,227776845.0,
Africa,,1955,,1.181265,253538237.0,
Africa,,1960,,1.3246403,283922302.0,
Africa,,1965,,1.5626957,321013552.0,
Africa,,1970,,1.900925,365552202.0,
Africa,,1975,,2.2973142,418433496.0,
Africa,,1980,,2.8511786,483051700.0,
Africa,,1985,,3.4740546,559664038.0,
Africa,,1990,,4.1424775,643775322.0,
Africa,,1995,,4.7085795,732695472.0,
Africa,,2000,,5.012495,830582806.0,
Africa,,2005,,5.4465013,942546629.0,
Africa,,2010,,5.890455,1072216734.0,
Africa,,2015,,6.1954384,1220075726.0,
Africa,,2020,,6.6818657,1380821349.0,
Albania,ALB,1870,,0.02,604928.0,Europe
Albania,ALB,1875,,0.03,634193.0,Europe
Albania,ALB,1880,,0.03,664842.0,Europe
Albania,ALB,1885,,0.04,696970.0,Europe
Albania,ALB,1890,,0.05,730840.0,Europe
Albania,ALB,1895,,0.06,767593.0,Europe
Albania,ALB,1900,,0.08,805974.0,Europe
Albania,ALB,1905,,0.1,843514.0,Europe
Albania,ALB,1910,,0.15,881057.0,Europe
Albania,ALB,1915,,0.24,911841.0,Europe
Albania,ALB,1920,,0.36,941221.0,Europe
Albania,ALB,1925,,0.51,966828.0,Europe
Albania,ALB,1930,,0.67,995454.0,Europe
Albania,ALB,1935,,0.84,1044694.0,Europe
Albania,ALB,1940,,1.08,1100833.0,Europe
Albania,ALB,1945,,1.8,1167887.0,Europe
Albania,ALB,1950,72.5,2.75,1247854.0,Europe
Albania,ALB,1955,,2.93,1418855.0,Europe
Albania,ALB,1960,,3.23,1649393.0,Europe
Albania,ALB,1965,,3.63,1894317.0,Europe
Albania,ALB,1970,,4.63,2181226.0,Europe
Albania,ALB,1975,,5.77,2454861.0,Europe
Albania,ALB,1980,,6.95,2735424.0,Europe
Albania,ALB,1985,,7.93,3026245.0,Europe
Albania,ALB,1990,,8.61,3277965.0,Europe
Albania,ALB,1995,,8.54,3258573.0,Europe
Albania,ALB,2000,,9.93,3166147.0,Europe
Albania,ALB,2001,99.0,,3147943.0,Europe
Albania,ALB,2005,,10.24,3076156.0,Europe
Albania,ALB,2008,96.0,,2992933.0,Europe
Albania,ALB,2010,,10.44,2928731.0,Europe
Albania,ALB,2011,97.0,,2911499.0,Europe
Albania,ALB,2012,97.0,,2910003.0,Europe
Albania,ALB,2015,,9.99,2898634.0,Europe
Albania,ALB,2017,98.81623,,2898245.0,Europe
Albania,ALB,2020,,10.32,2871950.0,Europe
Algeria,DZA,1870,,0.1,3478884.0,Africa
Algeria,DZA,1875,,0.13,3660312.0,Africa
Algeria,DZA,1880,,0.16,3851201.0,Africa
Algeria,DZA,1885,,0.2,4052043.0,Africa
Algeria,DZA,1890,,0.23,4262454.0,Africa
Algeria,DZA,1895,,0.27,4477863.0,Africa
Algeria,DZA,1900,,0.39,4721802.0,Africa
Algeria,DZA,1905,,0.51,5102742.0,Africa
Algeria,DZA,1910,,0.6,5497750.0,Africa
Algeria,DZA,1915,,0.58,5678648.0,Africa
Algeria,DZA,1920,,0.65,5846192.0,Africa
Algeria,DZA,1925,,0.71,6155505.0,Africa
Algeria,DZA,1930,,0.74,6530132.0,Africa
Algeria,DZA,1935,,0.78,7101299.0,Africa
Algeria,DZA,1940,,0.8,7739370.0,Africa
Algeria,DZA,1945,,0.82,8351211.0,Africa
Algeria,DZA,1950,17.5,0.83,9018423.0,Africa
Algeria,DZA,1955,,0.82,10247429.0,Africa
Algeria,DZA,1960,,0.9,11424930.0,Africa
Algeria,DZA,1965,,1.15,12365979.0,Africa
Algeria,DZA,1970,,1.69,13783722.0,Africa
Algeria,DZA,1975,,2.26,15678603.0,Africa
Algeria,DZA,1980,,3.0,18607175.0,Africa
Algeria,DZA,1985,,4.28,22008542.0,Africa
Algeria,DZA,1987,50.0,,23443627.0,Africa
Algeria,DZA,1990,,5.05,25375815.0,Africa
Algeria,DZA,1995,,5.76,28470194.0,Africa
Algeria,DZA,2000,,6.06,30903894.0,Africa
Algeria,DZA,2002,70.0,,31750832.0,Africa
Algeria,DZA,2005,,6.43,33109258.0,Africa
Algeria,DZA,2006,73.0,,33623505.0,Africa
Algeria,DZA,2008,75.0,,34816963.0,Africa
Algeria,DZA,2010,,7.0,36188237.0,Africa
Algeria,DZA,2015,,7.55,40019528.0,Africa
Algeria,DZA,2020,,8.18,44042094.0,Africa
American Samoa,ASM,1950,96.5,,19070.0,Oceania
American Samoa,ASM,1980,97.0,,32427.0,Oceania
Andorra,AND,1950,82.5,,6018.0,Europe
Angola,AGO,1950,3.0,,4551869.0,Africa
Angola,AGO,2001,67.0,,16747204.0,Africa
Angola,AGO,2014,66.0,,27160767.0,Africa
Angola,AGO,2015,66.23586,,28157802.0,Africa
Anguilla,AIA,1984,95.0,,6764.0,North America
Antigua and Barbuda,ATG,1950,82.5,,45462.0,North America
Antigua and Barbuda,ATG,2001,99.0,,76082.0,North America
Argentina,ARG,1870,,0.39,1793208.0,South America
Argentina,ARG,1875,,0.49,2099028.0,South America
Argentina,ARG,1880,,0.59,2456365.0,South America
Argentina,ARG,1885,,0.65,2874534.0,South America
Argentina,ARG,1890,,0.7,3366831.0,South America
Argentina,ARG,1895,,0.83,3964194.0,South America
Argentina,ARG,1900,,0.97,4685089.0,South America
Argentina,ARG,1905,,1.45,5636349.0,South America
Argentina,ARG,1910,,1.81,6748544.0,South America
Argentina,ARG,1914,64.9,,7533097.0,South America
Argentina,ARG,1915,,2.35,7730214.0,South America
Argentina,ARG,1920,,2.94,8818354.0,South America
Argentina,ARG,1925,,3.29,10197065.0,South America
Argentina,ARG,1930,,3.72,11726853.0,South America
Argentina,ARG,1935,,4.04,12887227.0,South America
Argentina,ARG,1940,,4.33,14078649.0,South America
Argentina,ARG,1945,,4.65,15474655.0,South America
Argentina,ARG,1947,86.4,,16077098.0,South America
Argentina,ARG,1950,87.5,4.91,17018032.0,South America
Argentina,ARG,1955,,5.24,18716036.0,South America
Argentina,ARG,1960,,5.69,20386055.0,South America
Argentina,ARG,1965,,6.03,22112634.0,South America
Argentina,ARG,1970,,6.48,23878330.0,South America
Argentina,ARG,1975,,7.03,25874106.0,South America
Argentina,ARG,1980,94.0,7.51,28011597.0,South America
Argentina,ARG,1985,,8.09,30336448.0,South America
Argentina,ARG,1990,,8.67,32755907.0,South America
Argentina,ARG,1991,96.0,,33230293.0,South America
Argentina,ARG,1995,,8.91,35070016.0,South America
Argentina,ARG,2000,,9.08,37213986.0,South America
Argentina,ARG,2001,97.0,,37624817.0,South America
Argentina,ARG,2005,,9.57,39216786.0,South America
Argentina,ARG,2010,,9.71,41288694.0,South America
Argentina,ARG,2015,,9.59,43477011.0,South America
Argentina,ARG,2020,,9.86,45191960.0,South America
Armenia,ARM,1989,99.0,,3443095.0,Asia
Armenia,ARM,2001,99.0,,3084350.0,Asia
Armenia,ARM,2011,100.0,,2923269.0,Asia
Armenia,ARM,2015,,10.45,2921179.0,Asia
Armenia,ARM,2016,100.0,,2918796.0,Asia
Armenia,ARM,2017,100.0,,2914966.0,Asia
Armenia,ARM,2020,100.0,10.54,2890893.0,Asia
Armenia,ARM,2022,99.825,,2880880.0,Asia
Aruba,ABW,2000,97.0,,88772.0,North America
Aruba,ABW,2010,97.0,,100127.0,North America
Asia,,1870,,0.04039264,811727086.0,
Asia,,1875,,0.04591134,822748807.0,
Asia,,1880,,0.055607054,836588561.0,
Asia,,1885,,0.07221849,859815828.0,
Asia,,1890,,0.10366251,885113714.0,
Asia,,1895,,0.13091978,907247338.0,
Asia,,1900,,0.17004845,931021418.0,
Asia,,1905,,0.22860081,963899803.0,
Asia,,1910,,0.29932407,999734197.0,
Asia,,1915,,0.38789332,1036849812.0,
Asia,,1920,,0.5146221,1076882587.0,
Asia,,1925,,0.64359754,1116816909.0,
Asia,,1930,,0.7871046,1161422369.0,
Asia,,1935,,0.9173573,1223537795.0,
Asia,,1940,,1.4270936,1288504299.0,
Asia,,1945,,1.5937337,1326525660.0,
Asia,,1950,,1.83195,1367581793.0,
Asia,,1955,,2.0868373,1523146415.0,
Asia,,1960,,2.409065,1691762696.0,
Asia,,1965,,2.7819846,1894030104.0,
Asia,,1970,,3.3291256,2136911807.0,
Asia,,1975,,3.858355,2388510805.0,
Asia,,1980,,4.4891996,2631643580.0,
Asia,,1985,,4.9444947,2906232641.0,
Asia,,1990,,5.3408546,3209094423.0,
Asia,,1995,,5.9571357,3486817949.0,
Asia,,2000,,6.6289124,3746832777.0,
Asia,,2005,,7.1300015,3992890580.0,
Asia,,2010,,7.6118946,4238694946.0,
Asia,,2015,,8.116568,4482088489.0,
Asia,,2020,,8.571011,4686811214.0,
Australia,AUS,1870,,1.72,1759814.0,Oceania
Australia,AUS,1875,,1.86,1964491.0,Oceania
Australia,AUS,1880,,2.06,2201376.0,Oceania
Australia,AUS,1885,,2.39,2595117.0,Oceania
Australia,AUS,1890,,2.74,3051532.0,Oceania
Australia,AUS,1895,,2.97,3375772.0,Oceania
Australia,AUS,1900,,3.09,3693331.0,Oceania
Australia,AUS,1905,,3.36,3996273.0,Oceania
Australia,AUS,1910,,3.87,4329018.0,Oceania
Australia,AUS,1915,,4.29,4772426.0,Oceania
Australia,AUS,1920,,4.71,5274343.0,Oceania
Australia,AUS,1925,,5.46,5800229.0,Oceania
Australia,AUS,1930,,6.01,6332771.0,Oceania
Australia,AUS,1935,,6.56,6647662.0,Oceania
Australia,AUS,1940,,7.02,6967916.0,Oceania
Australia,AUS,1945,,7.48,7516465.0,Oceania
Australia,AUS,1950,98.5,8.21,8176751.0,Oceania
Australia,AUS,1955,,8.49,9205189.0,Oceania
Australia,AUS,1960,,8.78,10280815.0,Oceania
Australia,AUS,1965,,9.19,11357479.0,Oceania
Australia,AUS,1970,,10.11,12599414.0,Oceania
Australia,AUS,1975,,10.8,13893988.0,Oceania
Australia,AUS,1980,,11.4,14721345.0,Oceania
Australia,AUS,1985,,11.43,15835743.0,Oceania
Australia,AUS,1990,,11.44,17126304.0,Oceania
Australia,AUS,1995,,11.51,18095340.0,Oceania
Australia,AUS,2000,,11.37,19132472.0,Oceania
Australia,AUS,2005,,11.71,20294490.0,Oceania
Australia,AUS,2010,,11.69,22141583.0,Oceania
Australia,AUS,2015,,12.92,23947997.0,Oceania
Australia,AUS,2020,,12.93,25743787.0,Oceania
Austria,AUT,1870,,2.27,4528451.0,Europe
Austria,AUT,1875,,2.4,4728390.0,Europe
Austria,AUT,1880,,2.56,4943751.0,Europe
Austria,AUT,1885,,2.74,5166297.0,Europe
Austria,AUT,1890,,3.04,5403121.0,Europe
Austria,AUT,1895,,3.36,5681470.0,Europe
Austria,AUT,1900,,3.7,5979176.0,Europe
Austria,AUT,1905,,4.03,6292427.0,Europe
Austria,AUT,1910,,4.38,6571587.0,Europe
Austria,AUT,1915,,4.71,6541966.0,Europe
Austria,AUT,1920,,5.03,6486069.0,Europe
Austria,AUT,1925,,5.47,6576779.0,Europe
Austria,AUT,1930,,5.86,6679644.0,Europe
Austria,AUT,1935,,6.25,6702847.0,Europe
Austria,AUT,1940,,6.16,6725734.0,Europe
Austria,AUT,1945,,5.96,6827667.0,Europe
Austria,AUT,1950,98.5,5.89,6936455.0,Europe
Austria,AUT,1955,,5.64,6946659.0,Europe
Austria,AUT,1960,,5.67,7047274.0,Europe
Austria,AUT,1965,,6.54,7270413.0,Europe
Austria,AUT,1970,,7.26,7466320.0,Europe
Austria,AUT,1975,,7.44,7577833.0,Europe
Austria,AUT,1980,,7.6,7548407.0,Europe
Austria,AUT,1985,,7.84,7564310.0,Europe
Austria,AUT,1990,,8.26,7679627.0,Europe
Austria,AUT,1995,,8.93,7950322.0,Europe
Austria,AUT,2000,,9.43,8012929.0,Europe
Austria,AUT,2005,,9.89,8229204.0,Europe
Austria,AUT,2010,,10.13,8365087.0,Europe
Austria,AUT,2015,,10.27,8644037.0,Europe
Austria,AUT,2020,,10.39,8921402.0,Europe
Azerbaijan,AZE,1999,99.0,,8100472.0,Asia
Azerbaijan,AZE,2007,100.0,,8828313.0,Asia
Azerbaijan,AZE,2009,100.0,,9046336.0,Asia
Azerbaijan,AZE,2010,100.0,,9146852.0,Asia
Azerbaijan,AZE,2011,100.0,,9256156.0,Asia
Azerbaijan,AZE,2012,100.0,,9376179.0,Asia
Azerbaijan,AZE,2013,100.0,,9504417.0,Asia
Azerbaijan,AZE,2014,100.0,,9631136.0,Asia
Azerbaijan,AZE,2015,100.0,,9752859.0,Asia
Azerbaijan,AZE,2016,100.0,,9868434.0,Asia
Azerbaijan,AZE,2017,100.0,,9968510.0,Asia
Azerbaijan,AZE,2019,100.0,,10110483.0,Asia
Azerbaijan,AZE,2023,100.0,,10318209.0,Asia
Bahamas,BHS,1950,77.5,,83505.0,North America
Bahrain,BHR,1950,12.5,,117275.0,Asia
Bahrain,BHR,1981,70.0,,373534.0,Asia
Bahrain,BHR,1991,84.0,,531883.0,Asia
Bahrain,BHR,2001,87.0,,699964.0,Asia
Bahrain,BHR,2015,,7.82,1369656.0,Asia
Bahrain,BHR,2020,,8.21,1483081.0,Asia
Bahrain,BHR,2022,98.0,,1533460.0,Asia
Bahrain,BHR,2023,98.0,,1569674.0,Asia
Bangladesh,BGD,1870,,0.01,23756533.0,Asia
Bangladesh,BGD,1875,,0.02,24228546.0,Asia
Bangladesh,BGD,1880,,0.02,24737232.0,Asia
Bangladesh,BGD,1885,,0.03,25253705.0,Asia
Bangladesh,BGD,1890,,0.03,25777945.0,Asia
Bangladesh,BGD,1895,,0.04,26309922.0,Asia
Bangladesh,BGD,1900,,0.06,26849595.0,Asia
Bangladesh,BGD,1905,,0.2,27396914.0,Asia
Bangladesh,BGD,1910,,0.33,27913022.0,Asia
Bangladesh,BGD,1915,,0.44,28188438.0,Asia
Bangladesh,BGD,1920,,0.42,28623503.0,Asia
Bangladesh,BGD,1925,,0.5,29200387.0,Asia
Bangladesh,BGD,1930,,0.58,30077163.0,Asia
Bangladesh,BGD,1935,,0.65,32901598.0,Asia
Bangladesh,BGD,1940,,0.75,36071677.0,Asia
Bangladesh,BGD,1945,,0.85,37872937.0,Asia
Bangladesh,BGD,1950,,0.93,41206857.0,Asia
Bangladesh,BGD,1955,,0.95,45767686.0,Asia
Bangladesh,BGD,1960,,1.03,51828663.0,Asia
Bangladesh,BGD,1965,,1.27,59902522.0,Asia
Bangladesh,BGD,1970,,1.41,69058898.0,Asia
Bangladesh,BGD,1975,,1.63,77854352.0,Asia
Bangladesh,BGD,1980,,2.31,88016435.0,Asia
Bangladesh,BGD,1981,29.0,,90303104.0,Asia
Bangladesh,BGD,1985,,2.87,100253825.0,Asia
Bangladesh,BGD,1990,,3.15,111633722.0,Asia
Bangladesh,BGD,1991,35.0,,113787112.0,Asia
Bangladesh,BGD,1995,,3.72,122600372.0,Asia
Bangladesh,BGD,2000,,4.77,134544303.0,Asia
Bangladesh,BGD,2001,47.0,,136805810.0,Asia
Bangladesh,BGD,2005,,5.51,144715789.0,Asia
Bangladesh,BGD,2010,,6.22,152201978.0,Asia
Bangladesh,BGD,2011,59.0,,153591074.0,Asia
Bangladesh,BGD,2012,58.0,,155070110.0,Asia
Bangladesh,BGD,2013,61.0,,156532134.0,Asia
Bangladesh,BGD,2014,61.0,,157964931.0,Asia
Bangladesh,BGD,2015,65.0,6.76,159383179.0,Asia
Bangladesh,BGD,2016,73.0,,160811934.0,Asia
Bangladesh,BGD,2017,73.0,,162186146.0,Asia
Bangladesh,BGD,2018,74.0,,163523109.0,Asia
Bangladesh,BGD,2019,75.0,,164913060.0,Asia
Bangladesh,BGD,2020,75.0,7.23,166298024.0,Asia
Bangladesh,BGD,2021,76.0,,167658855.0,Asia
Bangladesh,BGD,2022,79.0,,169384891.0,Asia
Barbados,BRB,1870,,0.94,161956.0,North America
Barbados,BRB,1875,,1.06,166833.0,North America
Barbados,BRB,1880,,1.21,171907.0,North America
Barbados,BRB,1885,,1.28,177276.0,North America
Barbados,BRB,1890,,1.37,182909.0,North America
Barbados,BRB,1895,,1.41,189198.0,North America
Barbados,BRB,1900,,1.52,193451.0,North America
Barbados,BRB,1905,,1.97,183403.0,North America
Barbados,BRB,1910,,1.95,172186.0,North America
Barbados,BRB,1915,,2.29,164092.0,North America
Barbados,BRB,1920,,2.7,158593.0,North America
Barbados,BRB,1925,,2.96,165039.0,North America
Barbados,BRB,1930,,3.19,173809.0,North America
Barbados,BRB,1935,,3.53,183461.0,North America
Barbados,BRB,1940,,3.91,193407.0,North America
Barbados,BRB,1945,,4.33,201857.0,North America
Barbados,BRB,1950,92.5,4.68,209928.0,North America
Barbados,BRB,1955,,4.85,223296.0,North America
Barbados,BRB,1960,,5.08,230901.0,North America
Barbados,BRB,1965,,6.79,242421.0,North America
Barbados,BRB,1970,99.0,8.59,249398.0,North America
Barbados,BRB,1975,,7.95,251188.0,North America
Barbados,BRB,1980,,7.72,251533.0,North America
Barbados,BRB,1985,,8.42,255831.0,North America
Barbados,BRB,1990,,8.79,258583.0,North America
Barbados,BRB,1995,,9.07,262046.0,North America
Barbados,BRB,2000,,9.23,262071.0,North America
Barbados,BRB,2005,,9.41,268717.0,North America
Barbados,BRB,2010,,9.57,275251.0,North America
Barbados,BRB,2015,,9.46,278999.0,North America
Barbados,BRB,2020,,9.67,281706.0,North America
Belarus,BLR,1989,98.0,,10158779.0,Europe
Belarus,BLR,1999,100.0,,10039221.0,Europe
Belarus,BLR,2009,100.0,,9507334.0,Europe
Belarus,BLR,2019,100.0,,9435415.0,Europe
Belgium,BEL,1475,10.0,,1250000.0,Europe
Belgium,BEL,1550,17.0,,1500000.0,Europe
Belgium,BEL,1650,25.0,,1750000.0,Europe
Belgium,BEL,1750,13.0,,2578639.0,Europe
Belgium,BEL,1870,,2.43,5094086.0,Europe
Belgium,BEL,1875,,2.39,5306815.0,Europe
Belgium,BEL,1880,,2.56,5536082.0,Europe
Belgium,BEL,1885,,2.65,5801075.0,Europe
Belgium,BEL,1890,,2.64,6083656.0,Europe
Belgium,BEL,1895,,2.65,6384484.0,Europe
Belgium,BEL,1900,80.4,2.66,6705987.0,Europe
Belgium,BEL,1905,,2.77,7076924.0,Europe
Belgium,BEL,1910,86.6,3.09,7427418.0,Europe
Belgium,BEL,1915,,3.26,7497707.0,Europe
Belgium,BEL,1920,92.2,3.48,7551028.0,Europe
Belgium,BEL,1925,,3.75,7780807.0,Europe
Belgium,BEL,1930,94.1,4.27,8029570.0,Europe
Belgium,BEL,1935,,4.65,8179335.0,Europe
Belgium,BEL,1940,,5.17,8315772.0,Europe
Belgium,BEL,1945,,5.93,8459824.0,Europe
Belgium,BEL,1950,96.5,6.85,8617442.0,Europe
Belgium,BEL,1955,,7.17,8835492.0,Europe
Belgium,BEL,1960,,7.4,9102172.0,Europe
Belgium,BEL,1965,,7.56,9399851.0,Europe
Belgium,BEL,1970,,7.98,9630508.0,Europe
Belgium,BEL,1975,,8.39,9748472.0,Europe
Belgium,BEL,1980,,8.93,9833093.0,Europe
Belgium,BEL,1985,,9.41,9880338.0,Europe
Belgium,BEL,1990,,10.0,9960968.0,Europe
Belgium,BEL,1995,,10.64,10137264.0,Europe
Belgium,BEL,2000,,10.95,10251719.0,Europe
Belgium,BEL,2005,,11.11,10478883.0,Europe
Belgium,BEL,2010,,11.29,10936619.0,Europe
Belgium,BEL,2015,,11.36,11275332.0,Europe
Belgium,BEL,2020,,11.57,11540102.0,Europe
Belize,BLZ,1870,,0.4,25444.0,North America
Belize,BLZ,1875,,0.5,26330.0,North America
Belize,BLZ,1880,,0.61,27537.0,North America
Belize,BLZ,1885,,0.76,29478.0,North America
Belize,BLZ,1890,,0.94,31745.0,North America
Belize,BLZ,1895,,1.14,34693.0,North America
Belize,BLZ,1900,,1.36,37771.0,North America
Belize,BLZ,1905,,1.98,39605.0,North America
Belize,BLZ,1910,,2.56,41386.0,North America
Belize,BLZ,1915,,3.06,43907.0,North America
Belize,BLZ,1920,,3.78,46640.0,North America
Belize,BLZ,1925,,4.15,49630.0,North America
Belize,BLZ,1930,,4.53,52902.0,North America
Belize,BLZ,1935,,4.91,56832.0,North America
Belize,BLZ,1940,,5.3,60990.0,North America
Belize,BLZ,1945,,5.65,64546.0,North America
Belize,BLZ,1950,77.5,7.28,69085.0,North America
Belize,BLZ,1955,,7.46,79867.0,North America
Belize,BLZ,1960,,7.8,91330.0,North America
Belize,BLZ,1965,,7.91,104689.0,North America
Belize,BLZ,1970,,7.86,120746.0,North America
Belize,BLZ,1975,,8.11,130403.0,North America
Belize,BLZ,1980,,7.88,145072.0,North America
Belize,BLZ,1985,,8.1,163812.0,North America
Belize,BLZ,1990,,8.97,183090.0,North America
Belize,BLZ,1991,70.0,,187056.0,North America
Belize,BLZ,1995,,9.62,204165.0,North America
Belize,BLZ,2000,,10.19,240809.0,North America
Belize,BLZ,2005,,10.77,279747.0,North America
Belize,BLZ,2010,,11.28,320256.0,North America
Belize,BLZ,2015,90.91604,10.56,356341.0,North America
Belize,BLZ,2020,,10.71,390819.0,North America
Benin,BEN,1870,,0.01,924897.0,Africa
Benin,BEN,1875,,0.01,973488.0,Africa
Benin,BEN,1880,,0.01,1023293.0,Africa
Benin,BEN,1885,,0.01,1065415.0,Africa
Benin,BEN,1890,,0.01,1106908.0,Africa
Benin,BEN,1895,,0.01,1145820.0,Africa
Benin,BEN,1900,,0.02,1187522.0,Africa
Benin,BEN,1905,,0.02,1244910.0,Africa
Benin,BEN,1910,,0.02,1306722.0,Africa
Benin,BEN,1915,,0.03,1367585.0,Africa
Benin,BEN,1920,,0.04,1429764.0,Africa
Benin,BEN,1925,,0.12,1533380.0,Africa
Benin,BEN,1930,,0.2,1650885.0,Africa
Benin,BEN,1935,,0.27,1770751.0,Africa
Benin,BEN,1940,,0.41,1902827.0,Africa
Benin,BEN,1945,,0.48,2075585.0,Africa
Benin,BEN,1950,,0.52,2250476.0,Africa
Benin,BEN,1955,,0.61,2353653.0,Africa
Benin,BEN,1960,,0.7,2517289.0,Africa
Benin,BEN,1965,,0.79,2757936.0,Africa
Benin,BEN,1970,,0.87,3065061.0,Africa
Benin,BEN,1975,,0.96,3445406.0,Africa
Benin,BEN,1979,16.0,,3818536.0,Africa
Benin,BEN,1980,,1.26,3925258.0,Africa
Benin,BEN,1985,,1.77,4538017.0,Africa
Benin,BEN,1990,,2.24,5281482.0,Africa
Benin,BEN,1992,27.0,,5617847.0,Africa
Benin,BEN,1995,,2.73,6226775.0,Africa
Benin,BEN,2000,,3.31,7221618.0,Africa
Benin,BEN,2002,35.0,,7675430.0,Africa
Benin,BEN,2005,,3.85,8426145.0,Africa
Benin,BEN,2010,,4.57,9797488.0,Africa
Benin,BEN,2015,,5.42,11360681.0,Africa
Benin,BEN,2017,38.87121,,12039777.0,Africa
Benin,BEN,2019,48.99828,,12726760.0,Africa
Benin,BEN,2020,,6.27,13070169.0,Africa
Benin,BEN,2021,43.83417,,13413423.0,Africa
Benin,BEN,2022,51.37877,,13759507.0,Africa
Bermuda,BMU,1950,96.5,,37241.0,North America
Bhutan,BTN,1950,3.0,,169991.0,Asia
Bhutan,BTN,2005,53.0,,661875.0,Asia
Bhutan,BTN,2012,55.0,,717288.0,Asia
Bhutan,BTN,2017,67.0,,754343.0,Asia
Bolivia,BOL,1870,,0.06,1509837.0,South America
Bolivia,BOL,1875,,0.08,1332352.0,South America
Bolivia,BOL,1880,,0.1,1186392.0,South America
Bolivia,BOL,1885,,0.12,1291389.0,South America
Bolivia,BOL,1890,,0.15,1450298.0,South America
Bolivia,BOL,1895,,0.19,1628674.0,South America
Bolivia,BOL,1900,,0.24,1813429.0,South America
Bolivia,BOL,1905,,0.29,1916363.0,South America
Bolivia,BOL,1910,,0.37,2017450.0,South America
Bolivia,BOL,1915,,0.47,2181829.0,South America
Bolivia,BOL,1920,,0.68,2354214.0,South America
Bolivia,BOL,1925,,0.86,2499110.0,South America
Bolivia,BOL,1930,,1.01,2647402.0,South America
Bolivia,BOL,1935,,1.71,2804535.0,South America
Bolivia,BOL,1940,,1.91,2955228.0,South America
Bolivia,BOL,1945,,2.11,3012318.0,South America
Bolivia,BOL,1950,32.5,2.44,3089975.0,South America
Bolivia,BOL,1955,,2.8,3358005.0,South America
Bolivia,BOL,1960,,3.15,3702323.0,South America
Bolivia,BOL,1965,,3.7,4109800.0,South America
Bolivia,BOL,1970,,4.14,4590008.0,South America
Bolivia,BOL,1975,,4.8,5137540.0,South America
Bolivia,BOL,1976,63.0,,5256497.0,South America
Bolivia,BOL,1980,,5.76,5758905.0,South America
Bolivia,BOL,1985,,6.7,6416193.0,South America
Bolivia,BOL,1990,,7.63,7130143.0,South America
Bolivia,BOL,1992,80.0,,7430337.0,South America
Bolivia,BOL,1995,,8.09,7874676.0,South America
Bolivia,BOL,2000,,8.73,8606330.0,South America
Bolivia,BOL,2001,87.0,,8752740.0,South America
Bolivia,BOL,2005,,8.77,9360758.0,South America
Bolivia,BOL,2007,91.0,,9685960.0,South America
Bolivia,BOL,2008,91.0,,9850859.0,South America
